City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,AvgTemperature,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Apple Store,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival
Bergen,Norway,,,,,,,,,,,0.69,0.58,0.72,0.76,0.21,,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,60.3925,5.3233,257087.0,71.8,7.5,1.4,2.0,4.0,2.6,7.6,0.8,4.8,4.3,5.3,9.8,8.3,3.8,1.0,0.2,8.5
Luxembourg,Luxembourg,,,,,,,,,,,0.6,0.67,0.72,0.75,0.21,,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,49.6106,6.1328,122273.0,,,,,,,,,,,,,,,,,
Buffalo,United States,,,,,,,,,,,0.49,0.63,0.55,0.77,0.25,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,42.9016,-78.8487,914341.0,,,,,,,,,,,,,,,,,
Quebec City,Canada,,,,,,,,,,,0.45,0.62,0.85,0.71,0.29,1.0,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,46.8139,-71.2081,705103.0,,,,,,,,,,,,,,,,,
Kansas City,United States,,,,,,,,,,,0.46,0.76,0.41,0.79,0.32,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.1239,-94.5541,1636715.0,,,,,,,,,,,,,,,,,
Edinburgh,United Kingdom,,,,,,,,,,,0.51,0.52,0.69,0.81,0.28,,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,55.953,-3.189,488050.0,84.5,7.7,5.6,2.8,4.3,2.0,6.5,5.9,6.0,8.5,9.5,7.0,5.0,4.6,1.0,3.7,4.4
Muscat,Oman,,,,,,,,,,,0.35,0.6,0.79,0.6,0.37,,,,,,,,23.6139,58.5922,1421409.0,,,,,,,,,,,,,,,,,
San Jose,United States,,,,,,,,,,,0.52,0.88,0.53,0.73,0.47,,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,37.3019,-121.8486,1798103.0,,,,,,,,,,,,,,,,,
Reno,United States,,,,,,,,,,,0.45,0.77,0.54,0.62,0.32,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.5497,-119.8483,445020.0,,,,,,,,,,,,,,,,,
Belfast,United Kingdom,,,,,,,,,,,0.44,0.56,0.6,0.72,0.28,1.0,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,54.5964,-5.93,333871.0,,,,,,,,,,,,,,,,,
Düsseldorf,Germany,,,,,,,,,,,0.48,0.6,0.69,0.72,0.33,,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,51.2311,6.7724,619294.0,,,,,,,,,,,,,,,,,
Liverpool,United Kingdom,,,,,,,,,,,0.47,0.55,0.56,0.86,0.3,,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,53.4,-2.9833,864122.0,,,,,,,,,,,,,,,,,
Tampa,United States,,,,,,,,,,,0.53,0.69,0.51,0.69,0.3,,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,27.9942,-82.4451,2908063.0,,,,,,,,,,,,,,,,,
St. Louis,United States,,,,,,,,,,,0.45,0.8,0.3,0.81,0.38,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,38.6358,-90.2451,2024074.0,,,,,,,,,,,,,,,,,
Glasgow,United Kingdom,,,,,,,,,,,0.46,0.62,0.56,0.81,0.35,,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,55.8609,-4.2514,985290.0,90.8,2.8,4.2,4.5,8.1,3.4,6.5,7.2,5.4,9.2,9.5,7.0,5.0,4.5,1.0,4.6,7.9
Cincinnati,United States,,,,,,,,,,,0.42,0.74,0.52,0.69,0.44,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.1413,-84.5061,1662691.0,,,,,,,,,,,,,,,,,
Nashville,United States,,,,,,,,,,,0.48,0.75,0.52,0.64,0.36,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,36.1715,-86.7843,1081903.0,,,,,,,,,,,,,,,,,
Indianapolis,United States,,,,,,,,,,,0.44,0.8,0.42,0.73,0.42,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.7771,-86.1458,1588961.0,,,,,,,,,,,,,,,,,
Jacksonville,United States,,,,,,,,,,,0.46,0.74,0.42,0.69,0.39,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,30.3322,-81.6749,1181496.0,,,,,,,,,,,,,,,,,
Cambridge,United Kingdom,,,,,,,,,,,0.5,0.49,0.72,0.74,0.32,,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,52.2053,0.1192,66.0,,,,,,,,,,,,,,,,,
San Antonio,United States,,,,,,,,,,,0.43,0.7,0.51,0.72,0.45,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,29.4658,-98.5253,2049293.0,,,,,,,,,,,,,,,,,
Tucson,United States,,,,,,,,,,,0.45,0.63,0.49,0.59,0.26,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,32.1545,-110.8782,888486.0,,,,,,,,,,,,,,,,,
Minneapolis,United States,,,,,,,,,,,0.55,0.75,0.48,0.78,0.27,,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,44.9635,-93.2678,2977172.0,,,,,,,,,,,,,,,,,
